X,y,airfoil name
"[-0.1142531194771843 -0.0484800287789283 -0.0443171705025865
 -0.009879859974744 -0.0179415644844535 -0.000905690003556
 -0.0060902758457146 -0.0005425581248472 -0.0018789160010639
 0.159798686489565 -0.0659123857646486 -0.0421787378176799
 -0.0278024482872706 -0.02446255366174 -0.0019052995275406
 -0.0120873390439266 -0.0013081729037876 -0.0043001218731785
 0.0008784970166754 -2.0]",[0.4657180850529308],VR12_0016
"[-0.0962903636275296 -0.0127086355446827 -0.0318530918422708
 0.0071392160361163 -0.0097657496748723 0.0002910983539005
 -0.0010688020924398 -0.0029433253622785 -0.0006034526470943
 0.1062084063727889 -0.084453367362598 -0.0229651542626985
 -0.0090368903689417 -0.0003170648718125 0.0031409615800117
 -0.0079274272647579 -0.0005716855963442 -0.0022242748504286 0.0013337934
 -1.0]",[0.456064783170034],RC410_0039
"[-0.1165285898969758 0.0098850573768586 -0.0091855960236172
 0.0137481581901718 -0.0066327590150011 0.0050967263807049
 -0.0028665899987306 0.0012825740993308 -0.0014648827537663
 0.1500218525427879 0.0339700911002911 0.0287373169229422
 -0.0068440153972625 0.008033066703412 -0.0011441152464507
 0.0036258104647341 -0.0001607369165306 0.0018541601977322 0.0015900399
 -4.0]",[0.3980104747087332],RCSC2_0006
"[-0.0804882448212405 0.0480823507969105 0.0035073290062233
 0.0128122287454651 0.0048966841643066 0.0050794511292232
 0.0044503381034597 0.0014170719636595 0.0017837108608713
 0.1360242453877233 -0.0281246642014136 -0.0203613522567978
 -0.0105595830168797 -0.013052629326834 -0.0032103857015952
 -0.0074256284719254 -0.001005906493234 -0.0030286103439603
 0.0014935442704941 -4.0]",[0.3947916312862236],SC1095_0002
"[-0.0567192450247197 0.1032819144201654 -0.020907437282568
 0.0099824006888292 0.0041833001947061 0.0042572751745571
 -0.0019067666480934 -0.000184635052612 -0.0011043674452078
 0.2316090862661655 -0.0083832512986815 -0.0316773633838572
 0.0008659650045447 -0.0063187727662475 -0.0035815504604569
 -0.0019090502906463 -0.0020865135499298 -0.0004405001327434 0.0001349896
 -3.0]",[0.4155311379053935],GS1_0036
"[-0.1319723459890597 -0.0129176828137083 -0.0349231537419952
 0.0105643632012971 -0.0115766354327952 -0.0002669360623185
 -0.0008307321793106 -0.0028429419648288 -0.0009228500237164
 0.1797191361129221 -0.0666623426677346 -0.023411455573955
 -0.00882534158124 -0.0004211125209353 0.0018356358535903
 -0.007088175161985 -0.0007567875220629 -0.0023326895144637
 0.0008264738205306 -4.0]",[0.4478528921180827],RC410_0001
"[-0.1313421822779816 -0.020708984621314 -0.0232890537432856
 0.0049069617223715 -0.0046103203118973 0.0045209844386315
 -0.0014150274347807 0.0013242846698383 -0.0007789779656195
 0.1854454090059518 0.0307869615657101 -0.004995562952394
 -0.0023260373768008 0.0006763756405211 0.0027841382273972
 0.0013233979560584 0.0008743192683362 0.0004120445176053
 0.0008112598466187 -3.0]",[0.4371248157277753],RC310_0038
"[-0.0374153718752267 0.0835754940494883 -0.0011174373424958
 0.0047395741320408 -0.015823094894496 0.0125489422781855
 -0.0070391849325347 0.0041108693488296 -0.001705348326632
 0.2591408164825405 0.0268635223407141 0.0086574296171698
 -0.0077235581150484 -0.017309795275204 0.0016034949106744
 -0.0089966922730682 -0.0003230906274012 -0.0028201022267107
 7.409811742912446e-05 -2.0]",[0.475903482755347],V43015_248_0018
"[-0.1570982784821661 0.0179807862633781 -0.0175210993070718
 0.0164570517038369 -0.0035879919101614 0.0047664933083809
 -0.0026168356664325 0.0012094527018247 -0.0013932964789256
 0.2112904896362131 0.036199385557296 0.0344779645391291
 -0.0048741209404567 0.0080193944511459 -0.0014515445931955
 0.0039109904434651 -0.0002155855716753 0.0019318243127986 0.0009145617
 -1.0]",[0.4582017319522096],RCSC2_0001
"[-0.1086702659517022 -0.0013380146573605 -0.0183821326152839
 -0.0053160112915483 -0.0278141506633258 -0.0042397363248586
 -0.0128006904269223 -0.0028720883617611 -0.004681802755962
 0.13925246313844 -0.0561428493168815 -0.0005283770798362
 -0.0044020272879468 -0.0140710437550041 -0.0018732891082439
 -0.0050718204775282 -0.0019578642529216 -0.0009931772885492 0.0 15.0]",[0.0029075097551217],V23010_158_0013
