X,y,airfoil name
"[-0.081575395172991 0.0424097550891758 -0.0252596049538658
 0.0048714422306954 -0.017279575118681 -0.0012866953555962
 -0.0010790701120995 -0.0026842336760956 -0.0009136059194591
 0.1801608107709065 -0.0260507509764936 -0.0154775698729943
 -0.009182892253026 -0.0054805022509133 0.001206117148541
 -0.007911051700774 -0.0002805555453844 -0.002610054524145
 0.0014573274906289 10.0]",[0.5532947567634557],RC410_0003
"[-0.1060212800357504 0.010539380274059 0.021850391126184
 0.0262378589107162 0.0115638178665471 0.0089645499270004
 0.0038210012995819 0.0027383081654546 0.0004578112858084
 0.1126279495336209 -0.0731421266359246 -0.0448430563482302
 -0.0284261960061305 -0.0166850641257468 -0.002045006461731
 -0.0052228497170108 0.00026215338683 -0.0016164194035318
 0.0004962718119094 5.0]",[0.6536827247935979],SSCA09_0019
"[-0.1538482090906218 -0.040059974334233 -0.0370940430990598
 0.0062261216577357 -0.0044792103279894 0.0041864053025655
 -0.0010989425200971 0.0011183672840363 -0.0005793218780344
 0.1971590321817552 -0.0061828899718716 -0.0112263913638204
 -0.0027393840098625 0.0004403114892856 0.0024683652493906
 0.0016700865356054 0.0006821696667499 0.0005812344430246
 0.0009559435235843 14.0]",[0.533167970065096],RC310_0001
"[-0.1891795786271956 -0.0497164267235209 -0.0247354288785963
 0.0336153402350557 -0.0111556799073016 0.0130615474341897
 -0.0072440151221808 0.00468659551728 -0.0023081978900348
 0.2426836726726953 -0.0992957102662174 -0.0107763220769811
 0.0153182435432523 -0.0098715586897952 -0.0008181379033355
 -0.0071031647010982 -0.0008435557905173 -0.0024000495747354
 1.7010445961562412e-05 12.0]",[0.5713995397251361],V43015_248_0025
"[-0.036978441186497 0.0544105992190516 0.0095332018436326
 0.0163752217075584 0.0022703141072544 0.0127364430175792
 0.0016065434387907 0.0031698838258793 -0.0004357442387376
 0.1768986227655758 -0.0396258821997621 -0.062317934248241
 -0.0324188029892039 -0.0215239995447215 -0.0001173911822567
 -0.0080663782988539 0.0009993778490065 -0.0023693176240274
 0.0013736778384438 12.0]",[0.5472246699400046],SC2110_0002
"[-0.071844955929305 0.0922269441451881 -0.0139294529295166
 0.0078633525041337 0.0015429849029673 0.0048616780297717
 -0.001968087704412 -0.0001761752772957 -0.0011133788446189
 0.1791279782761805 -0.0299041278191882 -0.0268780962493212
 -0.0042724315409936 -0.0061088856130689 -0.0031805956853111
 -0.0019295186643332 -0.0020517344982339 -0.0004418319290631 0.0001317862
 13.0]",[0.5422415504302429],GS1_0039
"[-0.0816014816951418 0.0284666223918012 -0.0517830484057801
 -0.0055507870392933 -0.0178216905850384 0.0129324862933859
 -0.0070748814966507 0.0040119649464912 -0.0019403823164512
 0.2999977385170775 -0.0181347808539399 -0.03848478371183
 -0.0223104767473674 -0.0171339301337494 0.0002221237556836
 -0.0076796620239923 -0.0007623823488227 -0.0024651517322305
 3.87315209883941e-05 0.0]",[0.7650588324256905],V43015_248_0002
"[-0.0827218480485719 -0.0077619560538636 -0.02553520573634
 -0.0026864470392774 -0.0269488223748397 -0.0026569036698433
 -0.0133386223181322 -0.0027201976285982 -0.0046699170868364
 0.116740124016275 -0.0695352251831284 -0.0114867508045802
 -0.0016711292723414 -0.0127096335792307 4.14422661625928e-05
 -0.0058568066219968 -0.0016880079591887 -0.0009804765472699 0.0 5.0]",[0.5958891042198332],V23010_158_0026
"[-0.0405330845803077 0.0506305174341271 0.0310920652285905
 0.0277379375182192 0.0060521465407299 0.0091099350652018
 0.0032459327332436 0.0029187162537077 0.0003298178114936
 0.1182777702929208 -0.0169567119011144 -0.0197026886519167
 -0.0332960700298038 -0.0218078956101538 -0.0020357013501159
 -0.0057794426721202 0.000413707669372 -0.001731610024428
 0.0013277425551072 1.0]",[0.5805998588677657],SSCA09_0027
"[-0.1264810950170151 -0.0261760196076392 -0.0441227731988891
 0.0076681052767145 -0.0114195575967287 0.0008680264700112
 -0.001161268489497 -0.0027909062027796 -0.0009340622610859
 0.1592820848111271 -0.0834074051275006 -0.0333813291227656
 -0.0078740702138523 0.00277297876663 0.0032314431839319
 -0.0075099974673595 -0.0006812044367361 -0.0023936679493272
 0.0002950046210818 16.0]",[0.5299561727113872],RC410_0025
"[-0.2115988193213524 -0.0344811107461951 -0.0367303946311301
 -0.0082907794575983 -0.0127587580696993 0.0082946149114006
 -0.0050629968403635 0.0035548336969448 -0.0021633276824284
 0.2486345471729292 -0.0867034225139713 -0.0289297429317034
 -0.0218512507129247 -0.0124859491183684 -0.002820254297509
 -0.0049840583297621 -0.0019794268085829 -0.0015114760218492
 8.167997394657126e-05 9.0]",[0.5823583801256316],V43015_248_0015
"[-0.1195527450137262 -0.0198779724132176 -0.025210451530059
 0.0047321627825996 -0.0052931943810015 0.0045725734517778
 -0.001464346424345 0.0013118645891867 -0.0007877825053529
 0.1744664449275962 0.0258413234552946 -0.0058568226683476
 -0.0021934468987156 0.0007577237921205 0.0028427223471134
 0.0012659899375713 0.0008682469365907 0.0003958963143537
 0.0015758919910148 7.0]",[0.6510498829832958],RC310_0017
